x,country,date,historyValue1,historyValue2,historyValue3,historyValue4
46,HKD,2017/08/25,3.713,3.908,3.833,3.893
47,HKD,2017/08/24,3.716,3.911,3.836,3.896
48,HKD,2017/08/23,3.72,3.915,3.84,3.9
49,HKD,2017/08/22,3.72,3.915,3.84,3.9
50,HKD,2017/08/21,3.724,3.919,3.844,3.904
51,HKD,2017/08/18,3.725,3.92,3.845,3.905
52,HKD,2017/08/17,3.723,3.918,3.843,3.903
53,HKD,2017/08/16,3.729,3.924,3.849,3.909
54,HKD,2017/08/15,3.721,3.916,3.841,3.901
55,HKD,2017/08/14,3.724,3.919,3.844,3.904
56,HKD,2017/08/11,3.73,3.925,3.85,3.91
57,HKD,2017/08/10,3.726,3.921,3.846,3.906
58,HKD,2017/08/09,3.715,3.91,3.835,3.895
59,HKD,2017/08/08,3.709,3.904,3.829,3.889
60,HKD,2017/08/07,3.714,3.909,3.834,3.894
61,HKD,2017/08/04,3.71,3.905,3.83,3.89
62,HKD,2017/08/03,3.712,3.907,3.832,3.892
63,HKD,2017/08/02,3.716,3.911,3.836,3.896
64,HKD,2017/08/01,3.719,3.914,3.839,3.899
0,GBP,2017/11/01,39.09,41.02,39.96,40.38
1,GBP,2017/10/31,38.78,40.71,39.65,40.07
2,GBP,2017/10/30,38.64,40.57,39.51,39.93
3,GBP,2017/10/27,38.54,40.47,39.41,39.83
4,GBP,2017/10/26,38.93,40.86,39.8,40.22
5,GBP,2017/10/25,38.65,40.58,39.52,39.94
6,GBP,2017/10/24,38.84,40.77,39.71,40.13
7,GBP,2017/10/23,38.85,40.78,39.72,40.14
8,GBP,2017/10/20,38.64,40.57,39.51,39.93
9,GBP,2017/10/19,38.8,40.73,39.67,40.09
10,GBP,2017/10/18,38.74,40.67,39.61,40.03
11,GBP,2017/10/17,38.99,40.92,39.86,40.28
12,GBP,2017/10/16,39.05,40.98,39.92,40.34
13,GBP,2017/10/13,39.12,41.05,39.99,40.41
14,GBP,2017/10/12,38.96,40.89,39.83,40.25
15,GBP,2017/10/11,38.84,40.77,39.71,40.13
16,GBP,2017/10/06,38.64,40.57,39.51,39.93
17,GBP,2017/10/05,38.91,40.84,39.78,40.2
18,GBP,2017/10/03,39.36,41.29,40.23,40.65
19,GBP,2017/10/02,39.47,41.4,40.34,40.76
20,GBP,2017/09/30,39.48,41.41,40.35,40.77
21,GBP,2017/09/29,39.57,41.5,40.44,40.86
22,GBP,2017/09/28,39.6,41.53,40.47,40.89
23,GBP,2017/09/27,39.49,41.42,40.36,40.78
24,GBP,2017/09/26,39.65,41.58,40.52,40.94
25,GBP,2017/09/25,39.7,41.63,40.57,40.99
26,GBP,2017/09/22,39.92,41.85,40.79,41.21
27,GBP,2017/09/21,39.7,41.63,40.57,40.99
28,GBP,2017/09/20,39.64,41.57,40.51,40.93
29,GBP,2017/09/19,39.69,41.62,40.56,40.98
30,GBP,2017/09/18,39.73,41.66,40.6,41.02
31,GBP,2017/09/15,39.31,41.24,40.18,40.6
32,GBP,2017/09/14,38.7,40.63,39.57,39.99
33,GBP,2017/09/13,38.96,40.89,39.83,40.25
34,GBP,2017/09/12,38.57,40.5,39.44,39.86
35,GBP,2017/09/11,38.52,40.45,39.39,39.81
36,GBP,2017/09/08,38.35,40.28,39.22,39.64
37,GBP,2017/09/07,38.13,40.06,39,39.42
38,GBP,2017/09/06,38.17,40.1,39.04,39.46
39,GBP,2017/09/05,37.78,39.71,38.65,39.07
40,GBP,2017/09/04,37.87,39.8,38.74,39.16
41,GBP,2017/09/01,37.83,39.76,38.7,39.12
42,GBP,2017/08/31,37.88,39.81,38.75,39.17
43,GBP,2017/08/30,37.9,39.83,38.77,39.19
44,GBP,2017/08/29,38.08,40.01,38.95,39.37
45,GBP,2017/08/28,37.82,39.75,38.69,39.11
46,GBP,2017/08/25,37.65,39.58,38.52,38.94
47,GBP,2017/08/24,37.66,39.59,38.53,38.95
48,GBP,2017/08/23,37.73,39.66,38.6,39.02
49,GBP,2017/08/22,37.86,39.79,38.73,39.15
50,GBP,2017/08/21,37.96,39.89,38.83,39.25
51,GBP,2017/08/18,38.02,39.95,38.89,39.31
52,GBP,2017/08/17,38.01,39.94,38.88,39.3
53,GBP,2017/08/16,37.93,39.86,38.8,39.22
54,GBP,2017/08/15,38.11,40.04,38.98,39.4
55,GBP,2017/08/14,38.32,40.25,39.19,39.61
56,GBP,2017/08/11,38.3,40.23,39.17,39.59
57,GBP,2017/08/10,38.21,40.14,39.08,39.5
58,GBP,2017/08/09,38.26,40.19,39.13,39.55
59,GBP,2017/08/08,38.31,40.24,39.18,39.6
60,GBP,2017/08/07,38.38,40.31,39.25,39.67
61,GBP,2017/08/04,38.66,40.59,39.53,39.95
62,GBP,2017/08/03,38.87,40.8,39.74,40.16
63,GBP,2017/08/02,38.93,40.86,39.8,40.22
64,GBP,2017/08/01,38.86,40.79,39.73,40.15
0,AUD,2017/11/01,22.86,23.52,23.05,23.28
1,AUD,2017/10/31,22.86,23.52,23.05,23.28
2,AUD,2017/10/30,22.86,23.52,23.05,23.28
3,AUD,2017/10/27,22.83,23.49,23.02,23.25
4,AUD,2017/10/26,22.91,23.57,23.1,23.33
5,AUD,2017/10/25,23.03,23.69,23.22,23.45
6,AUD,2017/10/24,23.25,23.91,23.44,23.67
7,AUD,2017/10/23,23.35,24.01,23.54,23.77
8,AUD,2017/10/20,23.43,24.09,23.62,23.85
9,AUD,2017/10/19,23.49,24.15,23.68,23.91
10,AUD,2017/10/18,23.35,24.01,23.54,23.77
11,AUD,2017/10/17,23.42,24.08,23.61,23.84
12,AUD,2017/10/16,23.47,24.13,23.66,23.89
13,AUD,2017/10/13,23.36,24.02,23.55,23.78
14,AUD,2017/10/12,23.34,24,23.53,23.76
15,AUD,2017/10/11,23.24,23.9,23.43,23.66
16,AUD,2017/10/06,23.32,23.98,23.51,23.74
17,AUD,2017/10/05,23.42,24.08,23.61,23.84
18,AUD,2017/10/03,23.48,24.14,23.67,23.9
19,AUD,2017/10/02,23.42,24.08,23.61,23.84
20,AUD,2017/09/30,23.4,24.06,23.59,23.82
21,AUD,2017/09/29,23.48,24.14,23.67,23.9
22,AUD,2017/09/28,23.45,24.11,23.64,23.87
23,AUD,2017/09/27,23.48,24.14,23.67,23.9
24,AUD,2017/09/26,23.62,24.28,23.81,24.04
25,AUD,2017/09/25,23.69,24.35,23.88,24.11
26,AUD,2017/09/22,23.69,24.35,23.88,24.11
27,AUD,2017/09/21,23.74,24.4,23.93,24.16
28,AUD,2017/09/20,23.89,24.55,24.08,24.31
29,AUD,2017/09/19,23.76,24.42,23.95,24.18
30,AUD,2017/09/18,23.78,24.44,23.97,24.2
31,AUD,2017/09/15,23.74,24.4,23.93,24.16
32,AUD,2017/09/14,23.79,24.45,23.98,24.21
33,AUD,2017/09/13,23.85,24.51,24.04,24.27
34,AUD,2017/09/12,23.85,24.51,24.04,24.27
35,AUD,2017/09/11,23.85,24.51,24.04,24.27
36,AUD,2017/09/08,23.97,24.63,24.16,24.39
37,AUD,2017/09/07,23.73,24.39,23.92,24.15
38,AUD,2017/09/06,23.73,24.39,23.92,24.15
39,AUD,2017/09/05,23.63,24.29,23.82,24.05
40,AUD,2017/09/04,23.61,24.27,23.8,24.03
41,AUD,2017/09/01,23.58,24.24,23.77,24
42,AUD,2017/08/31,23.53,24.19,23.72,23.95
43,AUD,2017/08/30,23.73,24.39,23.92,24.15
44,AUD,2017/08/29,23.69,24.35,23.88,24.11
45,AUD,2017/08/28,23.65,24.31,23.84,24.07
46,AUD,2017/08/25,23.62,24.28,23.81,24.04
47,AUD,2017/08/24,23.54,24.2,23.73,23.96
48,AUD,2017/08/23,23.59,24.25,23.78,24.01
49,AUD,2017/08/22,23.67,24.33,23.86,24.09
50,AUD,2017/08/21,23.7,24.36,23.89,24.12
51,AUD,2017/08/18,23.7,24.36,23.89,24.12
52,AUD,2017/08/17,23.81,24.47,24,24.23
53,AUD,2017/08/16,23.52,24.18,23.71,23.94
54,AUD,2017/08/15,23.42,24.08,23.61,23.84
55,AUD,2017/08/14,23.57,24.23,23.76,23.99
56,AUD,2017/08/11,23.54,24.2,23.73,23.96
57,AUD,2017/08/10,23.57,24.23,23.76,23.99
58,AUD,2017/08/09,23.51,24.17,23.7,23.93
59,AUD,2017/08/08,23.62,24.28,23.81,24.04
60,AUD,2017/08/07,23.65,24.31,23.84,24.07
61,AUD,2017/08/04,23.77,24.43,23.96,24.19
62,AUD,2017/08/03,23.61,24.27,23.8,24.03
63,AUD,2017/08/02,23.74,24.4,23.93,24.16
64,AUD,2017/08/01,23.9,24.56,24.09,24.32
0,CAD,2017/11/01,23.03,23.77,23.3,23.52
1,CAD,2017/10/31,23.12,23.86,23.39,23.61
2,CAD,2017/10/30,23.17,23.91,23.44,23.66
3,CAD,2017/10/27,23.13,23.87,23.4,23.62
4,CAD,2017/10/26,23.22,23.96,23.49,23.71
5,CAD,2017/10/25,23.48,24.22,23.75,23.97
6,CAD,2017/10/24,23.53,24.27,23.8,24.02
